196611,8.72,3.07,4.65,2.21,3.69,7.73,2.71,7.61,1.75,2.66,9.82,6.74,1.08,4.62,0.49,8.36,1.28,1.29,1.92,1.11,3.66,1.14,-2.56,-1.29,-0.68
196612,4.16,2.5,2.5,0.93,0.12,4.74,3.04,1.07,2.1,0.71,3.04,3.35,0.81,3.09,-0.48,3.17,2.31,1.59,3.68,2.19,-0.87,0.03,1.53,-0.07,-0.32
196701,19.43,21.26,19.41,20.17,17.57,16.97,16.04,18,17.36,20.43,17.19,13.82,12.46,13.35,14.37,9.81,6.68,10.45,10.96,13.33,7.76,7.11,5.16,7.58,14.16
196702,7.23,5.61,5.36,4.56,5.95,3.23,1.98,2.52,2.95,1.63,1.89,1.95,1.87,0.77,0.85,2.87,-0.41,-0.19,1.09,0.4,2.28,0.88,-0.78,-1.16,-1.31
196703,7.04,6.24,4.97,7.48,5.23,6.89,5.9,7.4,6.45,6.24,5.6,5.56,4.65,7.74,4.32,5.7,4.27,5.76,4.48,5.71,4.25,2.92,3.44,4.57,5.53
196704,6.74,4.5,3.31,4.01,3.62,3.22,3.64,5.2,3.82,3.32,5.52,4.46,3.16,5.47,2.92,6.7,2.98,4.27,3.33,3.24,6.93,3.04,0.32,3.1,1.86
196705,0.35,0.87,-1.15,-0.92,-0.6,-1.25,0.78,0.31,-2.57,-3.52,-3.15,-1.57,-1.79,0.08,-1.79,-2.27,-0.55,-2.11,-1.36,-0.58,-5.65,-3.96,-4.28,-3.62,-3.49
196706,15.74,9.72,12.01,12.2,10.11,10.23,6.19,7.3,9.5,5.89,4.8,8.21,4.02,4.54,3.68,3.01,2.3,3.73,6.73,6.36,1.4,0.64,1.76,2.98,2.88
196707,9.49,9.93,9.63,7.02,12.03,6.17,6.82,9.5,9.53,8.25,5.38,5.17,5.93,7.19,11.37,4.71,4.8,5.15,7.14,9.13,4.46,5.62,2.15,6.12,6.46
196708,-0.85,0.76,0.32,0.38,2.1,-1.18,-1.31,0.68,0.4,1.1,-3.03,1.06,1.22,1.22,-0.3,-0.93,-0.92,-0.64,1.11,3.93,-0.6,-0.98,-1.43,0.29,1.33
196709,11.28,9.78,8.32,7.62,4.87,5.12,5.89,7.07,5.5,3.12,5.66,2.28,2.78,4.64,2.67,3.54,1.56,2.42,3.47,0.41,3.85,3.15,3.3,1.76,0.25
196710,1.96,-4.06,-1.89,-1.72,-2.76,-0.77,-2.26,0.64,-2.53,-5.06,-3.5,-1.3,-3.34,-2.82,-2.43,-4.87,-5.18,-5.49,-2.55,-5.18,-0.26,-3.89,-2.87,-6.24,-6.51
196711,-1.05,3.57,-1.09,-1.18,-1.26,1.08,0.58,2.44,0.21,0.12,2.69,0.61,0.66,-0.27,-0.92,3.31,0.54,0.05,-0.1,-0.55,1.27,0.4,0.14,-0.45,0.06
196712,13.22,10.68,8.73,9.99,9.86,12.39,6.28,8.87,7.22,9.12,7.69,6.09,5.63,5.69,7.1,1.66,2.51,4.21,4.53,4,2,3.04,2.26,5.76,2.79
196801,3.19,2.54,2.96,3.37,6.07,-4.56,-2.15,-0.51,1.13,2.55,-6.86,-1.02,-0.66,-0.73,2.78,-7.98,0.48,-3.06,0.15,-0.73,-6.24,-5.7,0.56,-2.75,-3.84
196802,-10.12,-7.03,-5.35,-7.36,-5.21,-6.72,-6.23,-8.92,-3.33,-5.64,-6.88,-3.95,-2.69,-2.41,-4.57,-5.44,-3.34,-2.63,-4.99,-4.23,-2.97,-2.22,-2.08,-3.35,-1.9
196803,-1.52,-0.02,-0.31,-2.18,0.01,-0.38,-1.94,-0.17,-1.14,-0.64,2.01,-0.38,-2.33,0.73,-0.18,0.22,-0.1,-1.33,0.22,0.02,3.07,-1.39,-0.23,-1.7,2
196804,21.57,17.79,16.25,16.63,15.29,18.97,12.89,17.72,12.23,12.65,16.13,11.38,8.14,10.69,17.79,12.67,7.22,8.63,12.06,11.52,10.74,7.29,3.42,9.62,10.48
196805,10.37,12.76,10.52,11.8,11.86,11.9,7.71,7.83,7.58,7.01,8.79,4.67,4.86,4.89,6.99,4.47,4.54,2.74,2.78,6.28,2.27,1.27,-0.77,-0.98,4.66
196806,-1.24,-0.12,1.69,1.69,0.39,-1.14,1.73,-1.36,1.52,0.29,-2,2.85,3.4,1.93,1.41,-0.13,4.3,3.72,2.88,-2.49,-0.09,0.65,4.25,3.02,-1.59
196807,-4.84,-4.68,-3.33,-1.55,0.74,-8.87,-4,-1.9,-0.11,-0.33,-5.91,-3.66,-3.74,-0.76,-0.19,-5.47,-3.56,-3.66,-1.35,-2.21,-5.32,-0.91,2.58,0.91,1.15
196808,4.41,5.89,4.22,4.79,4.62,1.57,3.39,3.78,1.44,7.18,2.98,3.08,3.12,2.18,4.96,1.87,1.22,2.01,1.93,3.18,0.94,1.11,1.91,1.65,2.75
196809,7.14,8.5,6.8,5.94,6.18,7.09,6.35,7.23,5.85,6.19,7.5,6.22,3.23,6.16,6.38,6.54,6.06,5.24,6.36,5.69,1.95,5.33,2.5,4.2,8.15
196810,-1.88,0.03,1.49,0.49,1.8,-0.3,0.72,2.02,2.06,0.84,-0.21,2.56,3.02,2.67,0.8,-0.32,0.5,2.25,0.81,2.52,-1.84,2.26,1.98,3.69,1.11
196811,6.53,7.58,6.28,6.67,6.99,10.08,9.1,7.83,9.3,5.92,8.36,7.07,8.07,9.43,7.72,6.84,7.91,7.18,7.13,8.48,6.37,2.61,5.93,4.56,3.76
196812,4.46,2.2,0.71,-0.42,0.56,-0.1,0.6,-1.43,-3.33,-3.49,-2.61,-3.97,-1.27,0.16,-2.85,-3.97,-4.52,-3.79,-1.42,-0.52,-5.28,-4.4,-2.99,-3.44,-2.97
196901,-0.77,-2.06,-2.35,-1.32,-1.35,-2.69,-1.03,-1.36,1.31,0.56,-3.38,-1.1,-0.83,-0.83,-1.21,-2.1,0.31,0.03,-0.61,1.28,-2.3,-0.28,0.72,-0.35,1.64
196902,-12.45,-10.69,-8.94,-8.82,-8.54,-11.05,-8.07,-4.57,-7.62,-7.48,-9.39,-8.32,-6.1,-7,-5.78,-8.14,-7.54,-4.8,-7.41,-8.8,-3.34,-3.18,-4.93,-4.58,-6.35
196903,3.21,2.56,3.36,4.27,2.29,4.22,1.67,2.23,0.59,5.22,1.98,2.39,0.6,2.73,2.71,4.77,-2.15,2.89,1.45,3.52,4.12,3.31,3.9,1.89,5.02
196904,1.25,-0.53,0.97,2.52,0.06,1.56,1.16,1.1,-0.34,4.58,2.31,0.04,0.35,1.99,0.47,2.75,2.35,0.67,-1.45,2.12,3.69,1.27,0.88,3.01,0.93
